Tanggal,Aktual_kWh,Prediksi_LSTM,Prediksi_GRU
2023-09-01,152515824.0,146479870.0,143889180.0
2023-10-01,163946939.0,144825200.0,143994980.0
2023-11-01,160555402.0,143673360.0,151906560.0
2023-12-01,158579871.0,144727420.0,151171420.0
2024-01-01,145590719.0,146253000.0,149274430.0
2024-02-01,141912543.0,149671170.0,143059170.0
2024-03-01,159921463.0,157236320.0,143153630.0
2024-04-01,155599117.0,159416510.0,156485220.0
2024-05-01,170657958.0,162476690.0,157980270.0
2024-06-01,162330095.0,162030300.0,166597310.0
2024-07-01,160461104.0,163034190.0,159794640.0
2024-08-01,165458752.0,164263650.0,155419620.0
