Model,Batch,Epochs,RMSE_Scaled,MAPE_Scaled,RMSE_Inv,MAPE_Inv
LSTM,32,100,0.15988801800204297,20.88142020151568,9649969.462292125,4.650833589637247
LSTM,32,150,0.170696907854917,22.26091901977253,10302336.368435523,4.897159259882815
LSTM,32,200,0.1865223550335961,24.146165627775773,11257473.033923728,5.562646340336414
LSTM,64,100,0.21978505882918264,25.126464974156292,13265027.714367025,7.283247866096337
LSTM,64,150,0.1705156398824696,25.741198487198808,10291392.723933656,5.85562482553072
LSTM,64,200,0.153983737024616,21.40433267055573,9293621.122059865,4.352500762866843
GRU,32,100,0.24263300854702713,26.673354003787285,14644006.2968292,8.154710473098573
GRU,32,150,0.1642438873065911,22.01503974298462,9912863.728108438,4.90145705981151
GRU,32,200,0.19299392505424942,24.052263511489937,11648062.505485676,5.752121475808902
GRU,64,100,0.23143847935803988,25.69529088676874,13968365.287816511,7.750370961864722
GRU,64,150,0.2259730554161284,25.386207364442665,13638503.398458641,7.472814448227114
GRU,64,200,0.20343639349225587,23.33588468277731,12278312.015167663,6.727552472289195
