Model,Batch,Epochs,RMSE_Scaled,MAPE_Scaled,RMSE_Inv,MAPE_Inv
LSTM,32,100,0.1599,20.88%,9649969.46,4.65%
LSTM,32,150,0.1707,22.26%,10302336.37,4.9%
LSTM,32,200,0.1865,24.15%,11257473.03,5.56%
LSTM,64,100,0.2198,25.13%,13265027.71,7.28%
LSTM,64,150,0.1705,25.74%,10291392.72,5.86%
LSTM,64,200,0.154,21.4%,9293621.12,4.35%
GRU,32,100,0.2426,26.67%,14644006.3,8.15%
GRU,32,150,0.1642,22.02%,9912863.73,4.9%
GRU,32,200,0.193,24.05%,11648062.51,5.75%
GRU,64,100,0.2314,25.7%,13968365.29,7.75%
GRU,64,150,0.226,25.39%,13638503.4,7.47%
GRU,64,200,0.2034,23.34%,12278312.02,6.73%
