Model,Batch,Epochs,RMSE_Scaled,MAPE_Scaled,RMSE_Inv,MAPE_Inv
LSTM,32,50,0.2263816504765405,40.986323435011435,19912918.361594405,9.5005210384736
LSTM,32,100,0.24518355221560648,45.352461475005455,21566768.13140797,10.570097264486124
LSTM,32,150,0.26568245665941315,52.73769595457631,23369883.95237018,11.917115359594408
LSTM,32,200,0.24240033239798225,47.21362571167996,21321951.03601006,10.91496872755663
LSTM,64,50,0.21557885782059982,37.25053282168644,18962688.114576135,8.590618514208211
LSTM,64,100,0.25173528765110564,45.19209475487419,22143064.686626326,10.566700530544184
LSTM,64,150,0.23698931056333203,43.344101275296794,20845985.909443494,10.082302570526146
LSTM,64,200,0.2280768625759431,45.47024501831473,20062031.17197889,10.351304094441717
GRU,32,50,0.12463292523975579,17.683365906570863,10962924.156170072,4.937873830568774
GRU,32,100,0.11311509902833997,25.515101881397083,9949802.84653073,4.561015787655343
GRU,32,150,0.17892440841906884,37.37242211429838,15738499.361680783,7.914171538447808
GRU,32,200,0.2325801700162139,46.279609870108665,20458147.85466449,10.229975470035903
GRU,64,50,0.1262979152840816,17.95630376594846,11109379.800412115,4.95468698667566
GRU,64,100,0.1181800678238633,18.29841024058998,10395320.645827258,4.500994746260955
GRU,64,150,0.1291039784630031,27.241787865848977,11356205.480622886,5.311638761494515
GRU,64,200,0.16436866973789005,34.5096567360581,14458149.873185894,7.202778025981181
