Model,Batch,Epochs,RMSE_Scaled,MAPE_Scaled,RMSE_Inv,MAPE_Inv
LSTM,32,50,0.2264,40.99%,19912918.36,9.5%
LSTM,32,100,0.2452,45.35%,21566768.13,10.57%
LSTM,32,150,0.2657,52.74%,23369883.95,11.92%
LSTM,32,200,0.2424,47.21%,21321951.04,10.91%
LSTM,64,50,0.2156,37.25%,18962688.11,8.59%
LSTM,64,100,0.2517,45.19%,22143064.69,10.57%
LSTM,64,150,0.237,43.34%,20845985.91,10.08%
LSTM,64,200,0.2281,45.47%,20062031.17,10.35%
GRU,32,50,0.1246,17.68%,10962924.16,4.94%
GRU,32,100,0.1131,25.52%,9949802.85,4.56%
GRU,32,150,0.1789,37.37%,15738499.36,7.91%
GRU,32,200,0.2326,46.28%,20458147.85,10.23%
GRU,64,50,0.1263,17.96%,11109379.8,4.95%
GRU,64,100,0.1182,18.3%,10395320.65,4.5%
GRU,64,150,0.1291,27.24%,11356205.48,5.31%
GRU,64,200,0.1644,34.51%,14458149.87,7.2%
