Tanggal,Aktual_kWh,Pred_LSTM_kWh,Pred_GRU_kWh
2020-01-01,131745086.0,141032220.0,142287140.0
2020-02-01,124094506.99999999,138836320.0,128090980.0
2020-03-01,129034325.0,140463650.0,129381520.0
2020-04-01,124385110.99999999,140919980.0,131424820.0
2020-05-01,127778691.99999999,140919730.0,132482370.0
2020-06-01,122666284.0,140244290.0,132341430.0
2020-07-01,125770502.0,140195620.0,133520060.0
2020-08-01,130016162.0,139813200.0,135186380.0
2020-09-01,134378262.0,139548030.0,138719650.0
2020-10-01,140827052.0,139353900.0,142151700.0
2020-11-01,138157744.0,138698670.0,142598780.0
2020-12-01,125931431.99999999,138481870.0,138764000.0
2021-01-01,125436649.99999999,138016450.0,128798450.0
2021-02-01,114292562.0,138088140.0,126335410.0
2021-03-01,129474661.0,138167020.0,127196920.0
2021-04-01,126336783.0,137936300.0,129106620.0
2021-05-01,135165166.99999997,137950030.0,132144880.0
2021-06-01,136540088.0,137948420.0,136026750.0
2021-07-01,129712123.99999999,138504620.0,139010160.0
2021-08-01,134018475.0,138820530.0,136519420.0
2021-09-01,134606529.0,138961840.0,137066720.0
2021-10-01,145028989.0,138935330.0,136638670.0
2021-11-01,135050794.0,138912980.0,138234670.0
2021-12-01,133383979.99999999,139151310.0,131871010.0
2022-01-01,127632868.0,140160670.0,129978810.0
2022-02-01,118164940.99999999,140923700.0,128377230.0
2022-03-01,136606796.0,141861810.0,132655450.0
2022-04-01,137783495.0,141865120.0,137335230.0
2022-05-01,141816812.0,142215040.0,143340620.0
2022-06-01,138573546.0,142226080.0,144754700.0
2022-07-01,141605778.0,142293810.0,141963580.0
2022-08-01,145096746.0,143011300.0,143340260.0
2022-09-01,145789852.0,143669150.0,144954660.0
2022-10-01,144407097.0,144491920.0,145203300.0
2022-11-01,138531744.99999997,144753000.0,141094480.0
2022-12-01,138144015.0,145609500.0,137473470.0
2023-01-01,133215648.0,146439040.0,136911150.0
2023-02-01,120163598.0,147342500.0,137518910.0
2023-03-01,141766432.0,148166940.0,142374180.0
2023-04-01,139044514.0,147855230.0,146590720.0
2023-05-01,156444778.0,147520450.0,150231310.0
2023-06-01,149776150.0,147511100.0,157477090.0
2023-07-01,149372859.0,148017540.0,155543420.0
2023-08-01,152394928.0,148543420.0,152747140.0
2023-09-01,152515824.0,149106320.0,152004480.0
2023-10-01,163946939.0,149838720.0,150200210.0
2023-11-01,160555402.0,151145950.0,153771900.0
2023-12-01,158579871.0,153071400.0,152254780.0
2024-01-01,145590719.0,155074690.0,149846340.0
2024-02-01,141912543.0,156983620.0,144849490.0
2024-03-01,159921463.0,159180270.0,148540450.0
2024-04-01,155599117.0,160047310.0,158085760.0
2024-05-01,170657958.0,161045780.0,160919970.0
2024-06-01,162330095.0,161360420.0,166794980.0
2024-07-01,160461104.0,162236260.0,163346370.0
2024-08-01,165458752.0,163153010.0,161033600.0
